id_paper;MDS1;MDS2;year_publication;country;country_cor;area;wallace_bioregion;number_sp;energy;how;where;when;why;geographical_scale;organizational_lvl;tracking_method;ecosystem;spatial_scale;spatial_ext;organizational_lvl_fact;Ecosystem;ecological_scale
169;0,1181916409277790;0,09205958659085124;2005;USA;United States of America;North America;Neartic;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Other;farmlands;Short_scale;1;individuals;farmlands;individuals
173;0,0333174003425757;0,02101265741967890;2014;Canada;Canada;North America;Neartic;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Other;mountains;Large_scale;1;individuals;mountains;individuals
179;-0,2591940491140719;0,11413872517839586;2017;USA;United States of America;North America;Neartic;6;Eolic terrestrial;No;No;No;Yes;local;4;Bioacustic;farmlands;Short_scale;1;communities;farmlands;communities
181;0,0517896638190808;-0,02122280966873980;2022;Germany;Germany;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;1;Biologgers;farmlands;Short_scale;1;individuals;farmlands;individuals
182;-0,0697788490250902;0,09962874803078972;2007;Netherlands;Netherlands;Europe;Paleartic;1;Hydroelectric;Yes;No;No;No;local;2;Other;freshwaters;Large_scale;1;populations;freshwaters;populations
185;0,0505884122007478;-0,02286182764341060;2022;France;France;Europe;Paleartic;1;Tidal power;No;Yes;Yes;No;local;1;Bioacustic;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
186;-0,1897216104294996;-0,19908210732671225;2020;some;some;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;No;continental;3;Biologgers;freshwaters;Large_scale;3;species;freshwaters;species
187;-0,2918126223676155;-0,15854880026524765;2021;Switzerland;Switzerland;Europe;Paleartic;92;Eolic terrestrial;No;Yes;No;Yes;regional;2;Biologgers;mountains;Short_scale;2;populations;mountains;populations
188;-0,1472063189339804;0,04171219016263699;2017;Brazil;Brazil;South America;Neotropical;2;Hydroelectric;No;Yes;No;No;local;3;Bioacustic;freshwaters;Short_scale;1;species;freshwaters;species
200;0,0263672982325069;0,00663293076983722;2014;USA;United States of America;North America;Neartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Biologgers;freshwaters;Large_scale;1;individuals;freshwaters;individuals
202;-0,2116693285676910;-0,09734039389968048;2020;Portugal;Portugal;Europe;Paleartic;3;Hydroelectric;Yes;Yes;No;No;regional;3;Other;freshwaters;Large_scale;2;species;freshwaters;species
203;0,0406537238348842;-0,10583539573537123;2013;Sweden;Sweden;Europe;Paleartic;1;Hydroelectric;Yes;No;Yes;No;regional;1;Biologgers;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
206;0,0425347507018404;-0,02414834261541780;2021;Belgium;Belgium;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Bioacustic;freshwaters;Large_scale;1;individuals;freshwaters;individuals
207;-0,0505881544495124;-0,01688132275148150;2019;Brazil;Brazil;South America;Neotropical;1;Hydroelectric;Yes;Yes;No;No;local;2;Other;other;Short_scale;1;populations;other;populations
208;0,0405078840481308;0,08822752230193875;2011;Canada;Canada;North America;Neartic;2;Eolic terrestrial;No;No;No;No;local;1;Bioacustic;farmlands;Multi_scale;1;individuals;farmlands;individuals
212;0,0138478797455839;0,07019990860792320;2014;Canada;Canada;North America;Neartic;3;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Bioacustic;other;Multi_scale;1;individuals;other;individuals
216;0,0417966215577018;-0,02776905009179173;2021;Scotland;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
218;0,0343196119999415;-0,01878153387979049;2019;Norway;Norway;Europe;Paleartic;1;Hydroelectric;No;No;Yes;Yes;local;1;Marks;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
225;-0,1090251455666182;-0,10920760933963572;2014;USA;United States of America;North Africa;Neartic;2;Eolic terrestrial;Yes;Yes;No;No;regional;2;Isotopes;forests;Multi_scale;2;populations;forests;populations
226;0,0463242182703769;-0,03657160242002448;2022;USA;United States of America;North America;Neartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;farmlands;Large_scale;1;individuals;farmlands;individuals
227;-0,0708568961779798;-0,10917939805486468;2018;Finland;Finland;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;regional;2;Biologgers;other;Medium_scale;2;populations;other;populations
231;0,0377115343740907;-0,11887214728433286;2022;Florida;United States of America;North America;Neartic;1;Solar and termosolar;No;Yes;No;No;regional;1;Biologgers;other;Multi_scale;2;individuals;other;individuals
232;0,0455976871652821;-0,03890371925399985;2022;United States;United States of America;North America;Neartic;1;Solar and termosolar;Yes;Yes;Yes;Yes;local;1;Other;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
236;0,0236622607608839;-0,01308906391221164;2015;North Carolina and Georgia;United States of America;North America;Neartic;1;Offshore eolic;Yes;Yes;Yes;No;local;1;Bioacustic;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
241;0,0252291654296721;-0,01851043164041206;2016;USA;United States of America;North America;Neartic;1;Eolic terrestrial;No;No;No;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
244;0,0362756971806327;-0,03342241086665322;2020;South Africa;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;No;No;No;No;local;1;radar;farmlands;Short_scale;1;individuals;farmlands;individuals
