id_paper;MDS1;MDS2;year_publication;country;area;wallace_bioregion;number_sp;energy;how;where;when;why;geographical_scale;organizational_lvl;tracking_method;ecosystem;spatial_scale;spatial_ext;organizational_lvl_fact;Ecosystem;ecological_scale
173;0,0333174003425757;0,021012657419678903;2014;Canada;North America;Neartic;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Other;mountains;Large_scale;1;individuals;mountains;individuals
179;-0,2591940491140719;0,114138725178395864;2017;USA;North America;Neartic;6;Eolic terrestrial;No;No;No;Yes;local;4;Bioacustic;farmlands;Short_scale;1;communities;farmlands;communities
181;0,0517896638190808;-0,021222809668739802;2022;Germany;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;1;Biologgers;farmlands;Short_scale;1;individuals;farmlands;individuals
182;-0,0697788490250902;0,099628748030789735;2007;Netherlands;Europe;Paleartic;1;Hydroelectric;Yes;No;No;No;local;2;Other;freshwaters;Large_scale;1;populations;freshwaters;populations
185;0,0505884122007478;-0,022861827643410607;2022;France;Europe;Paleartic;1;Tidal power;No;Yes;Yes;No;local;1;Bioacustic;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
186;-0,1897216104294996;-0,199082107326712249;2020;some;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;No;continental;3;Biologgers;freshwaters;Large_scale;3;species;freshwaters;species
187;-0,2918126223676155;-0,158548800265247647;2021;Switzerland;Europe;Paleartic;92;Eolic terrestrial;No;Yes;No;Yes;regional;2;Biologgers;mountains;Short_scale;2;populations;mountains;populations
188;-0,1472063189339804;0,041712190162636990;2017;Brazil;South America;Neotropical;2;Hydroelectric;No;Yes;No;No;local;3;Bioacustic;freshwaters;Short_scale;1;species;freshwaters;species
200;0,0263672982325069;0,006632930769837223;2014;USA;North America;Neartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Biologgers;freshwaters;Large_scale;1;individuals;freshwaters;individuals
202;-0,2116693285676910;-0,097340393899680494;2020;Portugal;Europe;Paleartic;3;Hydroelectric;Yes;Yes;No;No;regional;3;Other;freshwaters;Large_scale;2;species;freshwaters;species
203;0,0406537238348842;-0,105835395735371235;2013;Sweden;Europe;Paleartic;1;Hydroelectric;Yes;No;Yes;No;regional;1;Biologgers;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
206;0,0425347507018404;-0,024148342615417800;2021;Belgium;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Bioacustic;freshwaters;Large_scale;1;individuals;freshwaters;individuals
207;-0,0505881544495124;-0,016881322751481506;2019;Brazil;South America;Neotropical;1;Hydroelectric;Yes;Yes;No;No;local;2;Other;other;Short_scale;1;populations;other;populations
208;0,0405078840481308;0,088227522301938754;2011;Canada;North America;Neartic;2;Eolic terrestrial;No;No;No;No;local;1;Bioacustic;farmlands;Multi_scale;1;individuals;farmlands;individuals
212;0,0138478797455839;0,070199908607923217;2014;Canada;North America;Neartic;3;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Bioacustic;other;Multi_scale;1;individuals;other;individuals
216;0,0417966215577018;-0,027769050091791730;2021;Scotland;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
218;0,0343196119999415;-0,018781533879790493;2019;Norway;Europe;Paleartic;1;Hydroelectric;No;No;Yes;Yes;local;1;Marks;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
225;-0,1090251455666182;-0,109207609339635733;2014;USA;North Africa;Neartic;2;Eolic terrestrial;Yes;Yes;No;No;regional;2;Isotopes;forests;Multi_scale;2;populations;forests;populations
226;0,0463242182703769;-0,036571602420024489;2022;USA;North America;Neartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;farmlands;Large_scale;1;individuals;farmlands;individuals
227;-0,0708568961779798;-0,109179398054864679;2018;Finland;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;regional;2;Biologgers;other;Medium_scale;2;populations;other;populations
231;0,0377115343740907;-0,118872147284332860;2022;Florida;North America;Neartic;1;Solar and termosolar;No;Yes;No;No;regional;1;Biologgers;other;Multi_scale;2;individuals;other;individuals
232;0,0455976871652821;-0,038903719253999852;2022;United States;North America;Neartic;1;Solar and termosolar;Yes;Yes;Yes;Yes;local;1;Other;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
236;0,0236622607608839;-0,013089063912211643;2015;North Carolina and Georgia;North America;Neartic;1;Offshore eolic;Yes;Yes;Yes;No;local;1;Bioacustic;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
241;0,0252291654296721;-0,018510431640412061;2016;USA;North America;Neartic;1;Eolic terrestrial;No;No;No;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
244;0,0362756971806327;-0,033422410866653228;2020;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;No;No;No;No;local;1;radar;farmlands;Short_scale;1;individuals;farmlands;individuals
255;0,0444319059023044;-0,254905999136524342;2012;Germany;Europe;Paleartic;4;Eolic terrestrial;No;Yes;Yes;No;continental;1;Isotopes;other;Multi_scale;3;individuals;other;individuals
257;0,0274125298515144;-0,115000809119387842;2016;Russia;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;regional;1;Biologgers;freshwaters;Large_scale;2;individuals;freshwaters;individuals
260;0,0117952461733323;-0,136116723970932330;2014;Norway;Europe;Paleartic;2;Hydroelectric;Yes;Yes;No;No;regional;1;Other;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
262;0,0310501280667104;-0,033057323216943019;2018;Spain;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Biologgers;freshwaters;Short_scale;1;individuals;freshwaters;individuals
263;-0,0696340444764966;-0,045258380902026427;2022;Czech Republic;Europe;Paleartic;1;Hydroelectric;No;No;Yes;No;local;2;Biologgers;freshwaters;Multi_scale;1;populations;freshwaters;populations
264;-0,6141086026500590;-0,077998006622126512;2021;Brazil;South America;Neotropical;191;Hydroelectric;No;Yes;No;No;regional;4;No tracking;freshwaters;Large_scale;2;communities;freshwaters;communities
265;0,0313818496552746;-0,126179828930889498;2021;Brazil;South America;Neotropical;1;Hydroelectric;Yes;Yes;Yes;No;regional;1;Other;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
267;0,0164725951037355;-0,031551283854286308;2013;The Netherlands;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;No;local;1;Other;freshwaters;Large_scale;1;individuals;freshwaters;individuals
268;-0,0862720589487215;0,000189854216546507;2012;Canada;North America;Neartic;1;Other;Yes;Yes;No;No;local;2;Biologgers;forests;Short_scale;1;populations;forests;populations
270;0,0356366553701814;-0,128594999063408461;2014;United States;North America;Neartic;1;Hydroelectric;Yes;Yes;No;No;regional;1;No tracking;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
271;0,0352027071149736;-0,043169080879216254;2020;Germany;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;1;Other;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
273;0,0225608147151686;0,294903745752271573;2015;Brazil;South America;Neotropical;81;Hydroelectric;No;Yes;No;No;local;1;No tracking;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
274;0,0397977614270995;-0,048150581017534520;2021;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;No;No;local;1;Biologgers;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
275;-0,0797345028673454;-0,129742257022449042;2017;China;East Asia;Sino-Japanese;1;Hydroelectric;No;Yes;No;No;regional;2;No tracking;freshwaters;Medium_scale;2;populations;freshwaters;populations
279;-0,0753052090769515;-0,048831159149164700;2022;France;Europe;Paleartic;1;Hydroelectric;Yes;No;No;No;local;2;Bioacustic;freshwaters;Large_scale;1;populations;freshwaters;populations
284;-0,0838248974892154;-0,297710055557555586;1997;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;Yes;Yes;regional;2;Biologgers;freshwaters;Multi_scale;2;populations;freshwaters;populations
