ID paper;Year of publication;Country;Area;Wallace bioregion;Number of species;Energy;How;Where;When;Why;Geographical scale;Ecological scale;Tracking method;Ecosystem;Spatial_scale
236;2015;North Carolina and Georgia;North America;Neartic;1;Offshore eolic;Yes;Yes;Yes;No;local;individuals;Bioacustic;oceans/coasts;Multi_scale
241;2016;USA;North America;Neartic;1;Eolic terrestrial;No;No;No;Yes;local;individuals;Biologgers;grasslands/shrublands/Savannahs;Short_scale
244;2020;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;No;No;No;No;local;individuals;radar;farmlands;Short_scale
248;2021;United States;North America;Neartic;NA;Eolic terrestrial;Yes;Yes;Yes;Yes;regional;individuals;radar;other;Large_scale
255;2012;Germany;Europe;Paleartic;4;Eolic terrestrial;No;Yes;Yes;No;continental;individuals;Isotopes;other;Multi_scale
257;2016;Russia;Europe;Paleartic;1;Hydroelectric;Doubt;Doubt;Yes;Yes;regional;individuals;Biologgers;freshwaters;Large_scale
258;2020;USA;North America;Neartic;1;Solar and termosolar;Yes;Yes;NA;Yes;regional;populations;Biologgers;other;Multi_scale
260;2014;Norway;Europe;Paleartic;2;Hydroelectric;Yes;Yes;No;No;regional;individuals;Other;freshwaters;Multi_scale
262;2018;Spain;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;Yes;local;individuals;Biologgers;freshwaters;Short_scale
263;2022;Czech Republic;Europe;Paleartic;1;Hydroelectric;No;No;Yes;No;local;populations;Biologgers;freshwaters;Multi_scale
264;2021;Brazil;South America;Neotropical;191;Hydroelectric;No;Yes;No;No;regional;communities;No tracking;freshwaters;Large_scale
265;2021;Brazil;South America;Neotropical;1;Hydroelectric;Yes;Yes;Yes;No;regional;individuals;Other;freshwaters;Multi_scale
267;2013;The Netherlands;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;No;local;individuals;Other;freshwaters;Large_scale
268;2012;Canada;North America;Neartic;1;Other;Yes;Yes;No;No;local;populations;Biologgers;forests;Short_scale
270;2014;United States;North America;Neartic;1;Hydroelectric;Yes;Yes;No;No;regional;individuals;No tracking;freshwaters;Multi_scale
271;2020;Germany;Europe;Paleartic;1;Hydroelectric;Yes;Doubt;Yes;Doubt;local;individuals;Other;freshwaters;Multi_scale
273;2015;Brazil;South America;Neotropical;81;Hydroelectric;No;Yes;No;No;local;individuals;No tracking;freshwaters;Multi_scale
274;2021;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;No;No;local;individuals;Biologgers;freshwaters;Multi_scale
275;2017;China;East Asia;Sino-Japanese;1;Hydroelectric;No;Yes;No;No;regional;populations;No tracking;freshwaters;Medium_scale
279;2022;France;Europe;Paleartic;1;Hydroelectric;Yes;No;No;No;local;populations;Bioacustic;freshwaters;Large_scale
280;2023;Brazil;South America;Neartic;29;Hydroelectric;NA;Yes;No;No;local;species;No tracking;freshwaters;Medium_scale
284;1997;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;Yes;Yes;regional;populations;Biologgers;freshwaters;Multi_scale
