reviewer,ID paper,Paper title,Year of publication,Suitability,Country,Area,Wallace bioregion,Taxon,Specie/s name/s,Number of species,Energy,How,Where,Why,When,Geographical scale,Ecological scale,Tracking method,Ecosystem,time period data,Short,Medium,Large,Comments
Jon,113,"Soaring Migratory Birds Avoid Wind Farm in the Isthmus of Tehuantepec, Southern Mexico",2014,Yes,Mexico,North America,Neartic,Birds,Swainson’s Hawks and Turkey Vultures,2,Eolic terrestrial,Yes,No,Yes,Yes,regional,species,Radar,mountains,2011,No,No,Yes,NA
Zaida,114,Behavioral Accommodation of Nesting Hawks to Wind Turbines,2018,Yes,United States,North America,Neartic,Birds,Buteo regalis / Buteo swainsoni / Buteo jamaicensis,3,Eolic terrestrial,Yes,Yes,Yes,Yes,local,individuals,Biologgers,farmlands,2011-2013,Yes,No,No,Avoidance of turbines and its relationship with fatalities
JGC,115,Wind turbines cause functional habitat loss for migratory soaring birds,2020,Yes,Spain,Europe,Paleartic,Birds,Milvus migrans,1,Eolic terrestrial,No,Yes,No,No,local,populations,Biologgers,other,2012-2013,No,No,Yes,"Authors address the effect of wind farms on bird use, suggesting that wind farms cause functional habitat loss (i.e., loss of aerospace in movement corridors). Birds used areas close to turbines less than expected based on their soaring suitability. Moreover, there was a slight peak of bird use at areas near the 674 m threshold that might have been a consequence of birds changing direction to avoid entering the areas adjacent to the turbines. The study was carried out in the region of Tarifa, Andalucía region, encompassing a variety of ecosystems, mainly cliffs, Mediterranean cork oak forests, farmlands.."
Assandri,118,Wind farms threaten southern Africa's cliff-nesting vultures,2014,Yes,Lesotho,South Africa,Afrotropical,Birds,Gypaetus barbatus meridionalis/Gyps coprotheres,2,Eolic terrestrial,No,No,No,No,local,individuals,Biologgers,mountains,2007-2010,Yes,No,No,Movement data (flight height and HS) are used to infer potential exposure to wind farm (not yet built) and to feed a population viability model.
MT,121,Habitat Utilization in White-Tailed Eagles (Haliaeetus albicilla) and the Displacement Impact of the Smøla Wind-Power Plant,2013,Yes,Norway,Europe,Paleartic,Birds,Haliaeetus albicilla),1,Eolic terrestrial,Yes,Yes,No,No,local,individuals,Biologgers,oceans/coasts,2004-2009,Yes,Yes,No,NA
app,122,High-Resolution Modeling of Uplift Landscapes can Inform Micrositing of Wind Turbines for Soaring Raptors,2020,Yes,Norway,Europe,Paleartic,Birds,Halieaeetus albicilla,1,Eolic terrestrial,Yes,Yes,Doubt,Yes,regional,individuals,Biologgers,other,2003-2017,Yes,No,No,"It is an island (Hitra, Norway,comprised of lakes and
rivers (5%), bogs (16%), forests (29%), farmland (2%) and open areas and settlements (48%).), but the place is terrestrial. Not sure how you want to categorize it. They mainly focus on the use of drafts and uplift landscapes to design the location a small scale. They don´t look into how this affects the movement of the individuals in terms of migration or dispersal."
jmpg,123,"Escapement, route choice, barrier passage and entrainment of seaward migrating European eel, Anguilla anguilla, within a highly regulated lowland river",2013,Yes,Great Britain,Europe,Paleartic,Fish,Anguilla anguilla,1,Hydroelectric,Yes,Yes,Yes,No,local,populations,Biologgers,freshwaters,3 periods of 6 months,No,Yes,Yes,NA
Zaida,124,A predictive flight-altitude model for avoiding future conflicts between an emblematic raptor and wind energy development in the Swiss Alps,2022,Yes,Switzerland,Europe,Paleartic,Birds,Gypaetus barbatus,1,Eolic terrestrial,Yes,Yes,No,No,regional,individuals,Biologgers,other,2005-2020,Yes,No,No,Ecosystem: includes all habitat types in the Alps
MArinaGA,125,Barriers to movement: Modelling energetic costs of avoiding marine wind farms amongst breeding seabirds,2010,Yes,Scotland,Europe,Paleartic,Birds,"Phalacrocorax aristotelis/Phalacrocorax carbo/Fratercula arctica/Uria aalge/Rissa tridactyla/Larus fuscus/Sterna hirundo/Fulmarus
glacialis/Morus bassanus",9,Offshore eolic,Yes,No,No,No,local,species,No tracking,oceans/coasts,None,Yes,No,No,"Not sure if it is suitable, all is theoretical, nothing is contrasted with data of actual avoidance though the story is convincent. They used parameters from the bibliography to calculated potential extra energy expenditure. That is the reason to not having time period of data, unless we use years of the consulted bibliography.  ""In this study, we assessed the potential cumulative impacts of wind farms on birds through the energetic costs of additional flight incurred during regular provisioning flights between nesting sites and feeding areas. With increasing numbers of wind turbines in the environment, and increasing observations that many species of birds exhibit avoidance behaviour towards wind turbines (Desholm and Kahlert, 2005), it is likely that individuals will have to fly increasing distances in order to reach their foraging grounds."""
JOR,126,Movement patterns of white-tailed sea eagles near wind turbines,2018,Yes,Germany,Europe,Paleartic,Birds,Haliaeetus albicilla,1,Eolic terrestrial,No,Yes,No,No,local,individuals,Biologgers,grasslands/shrublands/Savannahs,2003-2009,Yes,No,No,They show that white-tailed sea eagles do not avoid wind farms.
